Book0000030197;2023/07/21;2023/07/24;GabrieGomes;4;673.200
Book0000030199;2023/07/21;2023/07/23;MartRibeiro1463;1;448.800
Book0000030200;2023/07/21;2023/07/25;PMarques1369;2;897.600
Book0000030217;2023/07/21;2023/07/22;AdriRamos278;2;224.400
Book0000027509;2023/07/18;2023/07/20;IMatos1421;2;448.800
Book0000027516;2023/07/18;2023/07/19;RúbSá1404;2;224.400
Book0000027521;2023/07/18;2023/07/22;GaOliveira1587;1;897.600
Book0000027525;2023/07/18;2023/07/19;MigueBorges1734;4;224.400
Book0000027528;2023/07/18;2023/07/20;GTorres1871;2;448.800
Book0000027529;2023/07/18;2023/07/22;EdgFaria-Mota1014;3;897.600
Book0000027532;2023/07/18;2023/07/19;JuliMaia1685;2;224.400
Book0000027539;2023/07/18;2023/07/21;JLoureiro;1;673.200
Book0000027541;2023/07/18;2023/07/20;ÉriSoares1545;4;448.800
Book0000027554;2023/07/18;2023/07/22;BrVicente-Alves;4;897.600
Book0000027556;2023/07/18;2023/07/21;RuMendes;1;673.200
Book0000027557;2023/07/18;2023/07/20;SarAzevedo729;2;448.800
Book0000027559;2023/07/18;2023/07/21;BeMatias;3;673.200
Book0000027565;2023/07/18;2023/07/19;SalTavares159;3;224.400
Book0000027569;2023/07/18;2023/07/22;JoeTavares;1;897.600
Book0000027575;2023/07/18;2023/07/22;RafaeEsteves-Simões1918;2;897.600
Book0000029217;2023/06/17;2023/06/18;JoanMagalhães-Alves;3;224.400
Book0000029219;2023/06/17;2023/06/19;NCoelho-Costa;4;448.800
Book0000029222;2023/06/17;2023/06/19;MadalDomingues;4;448.800
Book0000029224;2023/06/17;2023/06/20;CCorreia;4;673.200
Book0000029227;2023/06/17;2023/06/19;RHenriques1210;4;448.800
Book0000029239;2023/06/17;2023/06/19;FerMacedo720;1;448.800
Book0000029240;2023/06/17;2023/06/21;AnTorres-Campos;3;897.600
Book0000029242;2023/06/17;2023/06/21;CésaMendes1953;3;897.600
Book0000029246;2023/06/17;2023/06/19;SofAnjos;2;448.800
Book0000018530;2023/06/09;2023/06/10;WilMarques;2;224.400
Book0000018536;2023/06/09;2023/06/13;CaetanAnjos;3;897.600
Book0000018545;2023/06/09;2023/06/11;ÍDomingues;2;448.800
Book0000018550;2023/06/09;2023/06/11;VMagalhães;4;448.800
Book0000018555;2023/06/09;2023/06/10;CAssunção896;2;224.400
Book0000018556;2023/06/09;2023/06/11;PGomes324;3;448.800
Book0000018557;2023/06/09;2023/06/12;PaSousa;1;673.200
Book0000018579;2023/06/09;2023/06/12;LMiranda318;1;673.200
Book0000018582;2023/06/09;2023/06/12;DaMarques109;3;673.200
Book0000018583;2023/06/09;2023/06/12;ILourenço1019;2;673.200
Book0000000951;2023/05/10;2023/05/14;Kelly-VerMarques;2;897.600
Book0000000953;2023/05/10;2023/05/13;LBatista727;2;673.200
Book0000000954;2023/05/10;2023/05/12;Nair-DanMachado1756;4;448.800
Book0000000961;2023/05/10;2023/05/14;PaulVieira1724;3;897.600
Book0000000968;2023/05/10;2023/05/12;IPaiva1591;3;448.800
Book0000000972;2023/05/10;2023/05/12;FernPinheiro787;1;448.800
Book0000000977;2023/05/10;2023/05/14;CristiaSá;4;897.600
Book0000000978;2023/05/10;2023/05/13;LPinho1980;3;673.200
Book0000000988;2023/05/10;2023/05/14;DiFreitas;3;897.600
Book0000000991;2023/05/10;2023/05/13;JoaMelo-Morais216;4;673.200
Book0000001001;2023/05/10;2023/05/11;MatCorreia911;2;224.400
Book0000022164;2023/05/02;2023/05/05;YLoureiro936;3;673.200
Book0000022170;2023/05/02;2023/05/04;LouSousa1085;1;448.800
