Book0000030182;2023/07/21;2023/07/24;LuíPereira;2;489.600
Book0000030183;2023/07/21;2023/07/24;DanielPinto643;2;489.600
Book0000030188;2023/07/21;2023/07/23;CGonçalves829;3;326.400
Book0000030189;2023/07/21;2023/07/23;MarCardoso1978;2;326.400
Book0000030196;2023/07/21;2023/07/25;NoCampos;2;652.800
Book0000030201;2023/07/21;2023/07/24;Violeta-MaBarbosa;1;489.600
Book0000030203;2023/07/21;2023/07/25;PeFerreira;1;652.800
Book0000030205;2023/07/21;2023/07/24;FrMoura1715;3;489.600
Book0000030206;2023/07/21;2023/07/22;GabSá468;4;163.200
Book0000030219;2023/07/21;2023/07/23;IsaOliveira562;4;326.400
Book0000030220;2023/07/21;2023/07/22;YaAnjos;4;163.200
Book0000030221;2023/07/21;2023/07/25;ÂngRocha1874;3;652.800
Book0000027513;2023/07/18;2023/07/19;LeandrGuerreiro;1;163.200
Book0000027531;2023/07/18;2023/07/19;MatVicente318;1;163.200
Book0000027538;2023/07/18;2023/07/22;HuMendes1216;1;652.800
Book0000027546;2023/07/18;2023/07/19;LuciaPaiva657;2;163.200
Book0000027550;2023/07/18;2023/07/21;RafaBaptista873;2;489.600
Book0000027555;2023/07/18;2023/07/19;Helena-BFreitas;3;163.200
Book0000027558;2023/07/18;2023/07/20;JBranco;4;326.400
Book0000027563;2023/07/18;2023/07/20;MCampos1895;3;326.400
Book0000027566;2023/07/18;2023/07/21;HugMatias;1;489.600
Book0000027571;2023/07/18;2023/07/20;EAndrade;3;326.400
Book0000029184;2023/06/17;2023/06/18;MReis109;1;163.200
Book0000029185;2023/06/17;2023/06/21;JéssSimões702;2;652.800
Book0000029186;2023/06/17;2023/06/20;LiMelo;4;489.600
Book0000029190;2023/06/17;2023/06/21;MiriBranco1672;2;652.800
Book0000029191;2023/06/17;2023/06/20;AAmaral;4;489.600
Book0000029194;2023/06/17;2023/06/20;GuilPereira1773;2;489.600
Book0000029196;2023/06/17;2023/06/18;RPaiva;2;163.200
Book0000029197;2023/06/17;2023/06/20;EriGaspar820;3;489.600
Book0000029202;2023/06/17;2023/06/21;GiSimões;4;652.800
Book0000029208;2023/06/17;2023/06/21;GabriePinheiro;1;652.800
Book0000029223;2023/06/17;2023/06/21;AVieira;1;652.800
Book0000029233;2023/06/17;2023/06/20;TiMagalhães-Amaral428;1;489.600
Book0000029235;2023/06/17;2023/06/21;AnCosta1969;3;652.800
Book0000029247;2023/06/17;2023/06/21;AndreGarcia71;3;652.800
Book0000018532;2023/06/09;2023/06/10;SMartins;4;163.200
Book0000018538;2023/06/09;2023/06/10;RLoureiro;4;163.200
Book0000018549;2023/06/09;2023/06/12;JMoreira;3;489.600
Book0000018553;2023/06/09;2023/06/13;MPereira;2;652.800
Book0000018559;2023/06/09;2023/06/11;ÁAmorim;1;326.400
Book0000018560;2023/06/09;2023/06/11;NuBarros1484;2;326.400
Book0000018563;2023/06/09;2023/06/11;EmanJesus387;1;326.400
Book0000018564;2023/06/09;2023/06/10;MBorges-Pires;2;163.200
Book0000018566;2023/06/09;2023/06/11;MauFreitas;4;326.400
Book0000018568;2023/06/09;2023/06/12;CésaSimões;2;489.600
Book0000018575;2023/06/09;2023/06/12;NicoBaptista-Soares432;1;489.600
Book0000018577;2023/06/09;2023/06/10;AAssunção;1;163.200
Book0000018578;2023/06/09;2023/06/12;GRocha-Esteves;1;489.600
Book0000018580;2023/06/09;2023/06/12;TerDomingues920;4;489.600
Book0000000940;2023/05/10;2023/05/11;GustaFonseca;3;163.200
Book0000000943;2023/05/10;2023/05/11;AfoFerreira480;4;163.200
Book0000000944;2023/05/10;2023/05/14;RuAssunção377;1;652.800
Book0000000947;2023/05/10;2023/05/14;AliMiranda406;2;652.800
Book0000000948;2023/05/10;2023/05/11;ToDomingues;4;163.200
Book0000000949;2023/05/10;2023/05/13;YBatista-Henriques199;1;489.600
Book0000000950;2023/05/10;2023/05/12;ValenMorais;4;326.400
Book0000000956;2023/05/10;2023/05/14;PAssunção;4;652.800
Book0000000957;2023/05/10;2023/05/13;NoPaiva1937;2;489.600
Book0000000958;2023/05/10;2023/05/12;MiguMagalhães591;2;326.400
Book0000000959;2023/05/10;2023/05/14;LNogueira649;3;652.800
Book0000000960;2023/05/10;2023/05/11;NGonçalves;3;163.200
Book0000000962;2023/05/10;2023/05/14;InêBarbosa;2;652.800
Book0000000969;2023/05/10;2023/05/13;JorgAntunes1903;1;489.600
Book0000000996;2023/05/10;2023/05/14;AniAraújo;1;652.800
Book0000000998;2023/05/10;2023/05/12;SaloCastro;1;326.400
Book0000022160;2023/05/02;2023/05/04;IarCunha;1;326.400
Book0000022171;2023/05/02;2023/05/06;ÉriHenriques1667;2;652.800
Book0000022173;2023/05/02;2023/05/03;HelPereira;3;163.200
Book0000022174;2023/05/02;2023/05/04;YaEsteves;3;326.400
Book0000022175;2023/05/02;2023/05/06;LariMoura1255;4;652.800
Book0000022177;2023/05/02;2023/05/04;NicolMelo;4;326.400
Book0000022180;2023/05/02;2023/05/06;HeGaspar;3;652.800
Book0000022189;2023/05/02;2023/05/06;ClaSimões115;4;652.800
Book0000022194;2023/05/02;2023/05/03;NGomes;3;163.200
Book0000022198;2023/05/02;2023/05/04;MarcBorges558;3;326.400
Book0000022200;2023/05/02;2023/05/04;LTavares1799;1;326.400
Book0000022204;2023/05/02;2023/05/03;TPaiva1719;4;163.200
Book0000022207;2023/05/02;2023/05/06;ÍriNeto;2;652.800
Book0000022208;2023/05/02;2023/05/03;DLeite1451;1;163.200
Book0000005855;2023/04/11;2023/04/13;VaMiranda;1;326.400
Book0000005862;2023/04/11;2023/04/12;SoraMelo667;4;163.200
Book0000005863;2023/04/11;2023/04/14;SMota-Teixeira692;3;489.600
Book0000005878;2023/04/11;2023/04/12;AnBorges;4;163.200
Book0000005881;2023/04/11;2023/04/15;ErikFerreira1657;1;652.800
Book0000005884;2023/04/11;2023/04/12;KévMachado;4;163.200
Book0000005887;2023/04/11;2023/04/15;BárbaMachado22;3;652.800
Book0000005893;2023/04/11;2023/04/13;NunMagalhães248;1;326.400
Book0000005894;2023/04/11;2023/04/13;FraAbreu;2;326.400
Book0000027316;2023/03/12;2023/03/15;MargariRocha759;1;489.600
Book0000027327;2023/03/12;2023/03/15;JosMagalhães395;3;489.600
Book0000027328;2023/03/12;2023/03/15;JoãPires;3;489.600
Book0000027346;2023/03/12;2023/03/14;CAlves;4;326.400
Book0000027347;2023/03/12;2023/03/16;EOliveira;2;652.800
Book0000027355;2023/03/12;2023/03/15;DaviCorreia;1;489.600
Book0000027361;2023/03/12;2023/03/13;FábiFaria;1;163.200
Book0000027362;2023/03/12;2023/03/14;LetíciOliveira668;4;326.400
Book0000027368;2023/03/12;2023/03/15;AnCarneiro;1;489.600
Book0000027369;2023/03/12;2023/03/13;TomáPacheco277;2;163.200
Book0000018984;2023/02/15;2023/02/18;GaspGaspar323;4;489.600
Book0000018989;2023/02/15;2023/02/18;PeMaia1729;2;489.600
Book0000018990;2023/02/15;2023/02/16;MarcAssunção318;3;163.200
Book0000019003;2023/02/15;2023/02/19;GonçRibeiro1401;3;652.800
Book0000019009;2023/02/15;2023/02/19;IvMoura536;4;652.800
Book0000019013;2023/02/15;2023/02/16;AntónMoreira238;3;163.200
Book0000019022;2023/02/15;2023/02/19;ClAmaral;2;652.800
Book0000019028;2023/02/15;2023/02/17;FilipLeite855;2;326.400
Book0000019029;2023/02/15;2023/02/19;JéssiGaspar;4;652.800
Book0000019031;2023/02/15;2023/02/17;WilVicente;2;326.400
Book0000019033;2023/02/15;2023/02/16;CAlves942;4;163.200
Book0000019045;2023/02/15;2023/02/16;BiancRodrigues;3;163.200
Book0000024114;2023/02/15;2023/02/19;NoMonteiro-Teixeira;3;652.800
Book0000024117;2023/02/15;2023/02/17;NOliveira1477;1;326.400
Book0000024121;2023/02/15;2023/02/19;LeonAnjos1116;3;652.800
Book0000024122;2023/02/15;2023/02/16;LúciAlves;3;163.200
Book0000024125;2023/02/15;2023/02/19;FiliVaz1918;4;652.800
Book0000024130;2023/02/15;2023/02/19;DiCorreia450;4;652.800
Book0000024139;2023/02/15;2023/02/18;Valentina-SoAndrade;1;489.600
Book0000024144;2023/02/15;2023/02/19;FPires;4;652.800
Book0000024148;2023/02/15;2023/02/18;GuilherTorres;4;489.600
Book0000024155;2023/02/15;2023/02/18;SantMiranda708;3;489.600
Book0000039670;2023/02/07;2023/02/09;BenediAbreu;3;326.400
Book0000039672;2023/02/07;2023/02/08;BárbSá-Anjos;3;163.200
Book0000039678;2023/02/07;2023/02/11;EAmorim-Pires1569;1;652.800
Book0000039680;2023/02/07;2023/02/08;VioleVieira1961;2;163.200
Book0000039692;2023/02/07;2023/02/11;ECoelho1314;4;652.800
Book0000039696;2023/02/07;2023/02/08;HelenSantos1400;2;163.200
Book0000039699;2023/02/07;2023/02/08;NádCampos;3;163.200
Book0000039700;2023/02/07;2023/02/08;BSimões1222;2;163.200
Book0000039710;2023/02/07;2023/02/09;CésRocha1321;4;326.400
Book0000039712;2023/02/07;2023/02/10;MartBarros1402;1;489.600
Book0000039713;2023/02/07;2023/02/11;RMachado1508;2;652.800
Book0000039714;2023/02/07;2023/02/09;NCorreia875;4;326.400
Book0000039716;2023/02/07;2023/02/11;JéssicMachado-Henriques1986;3;652.800
Book0000039721;2023/02/07;2023/02/10;MáBarros;1;489.600
Book0000039722;2023/02/07;2023/02/09;VeLourenço422;3;326.400
Book0000039723;2023/02/07;2023/02/10;MaFerreira1574;1;489.600
Book0000018418;2022/12/15;2022/12/16;HAbreu23;1;163.200
Book0000018429;2022/12/15;2022/12/17;DavSousa450;4;326.400
Book0000018433;2022/12/15;2022/12/18;KelMorais1863;1;489.600
Book0000018434;2022/12/15;2022/12/18;JéssBarros1255;1;489.600
Book0000018439;2022/12/15;2022/12/19;DMarques557;1;652.800
Book0000018446;2022/12/15;2022/12/18;WilsPacheco1337;1;489.600
Book0000018452;2022/12/15;2022/12/16;MigCorreia-Domingues;2;163.200
